ins,commune,population
61012,Clavier,4642
61019,Ferrières,5006
61024,Hamoir,3846
61028,Héron,5476
61031,Huy,21238
61039,Marchin,5441
61041,Modave,4219
61043,Nandrin,5758
61048,Ouffet,2797
61063,Verlaine,4277
61068,Villers-Le-Bouillet,6593
61072,Wanze,13731
61079,Anthisnes,4198
61080,Engis,6209
61081,Tinlot,2735
62000,Arrondissement de Liège,625765
62003,Ans,28598
62006,Awans,9243
62009,Aywaille,12394
62011,Bassenge,8931
62015,Beyne-Heusay,11891
62022,Chaudfontaine,20855
62026,Comblain-au-Pont,5396
62027,Dalhem,7517
62032,Esneux,13015
62038,Fléron,16370
62051,Herstal,40190
62060,Juprelle,9435
62063,Liège,197217
62079,Oupeye,25444
62093,Saint-Nicolas (Liège),24329
62096,Seraing,64192
62099,Soumagne,17040
62100,Sprimont,14909
62108,Visé,17926
62118,Grâce-Hollogne,22823
62119,Blegny,13387
62120,Flémalle,26389
62121,Neupré,9977
62122,Trooz,8297
63000,Arrondissement de Verviers,288277
63001,Amblève,5486
63003,Aubel,4246
63004,Baelen,4487
63012,Bullange,5456
63013,Butgenbach,5629
63020,Dison,15255
63023,Eupen,19762
63035,Herve,17620
63038,Jalhay,8728
63040,La Calamine,11212
63045,Lierneux,3575
63046,Limbourg,5905
63048,Lontzen,5833
63049,Malmedy,12797
63057,Olne,4036
63058,Pepinster,9693
63061,Raeren,10818
63067,Saint-Vith,9779
63072,Spa,10149
63073,Stavelot,7153
63075,Stoumont,3174
63076,Theux,12012
63079,Verviers,55290
63080,Waimes,7379
63084,Welkenraedt,10068
63086,Trois-Ponts,2553
63087,Burg-Reuland,3974
63088,Plombières,10527
63089,Thimister-Clermont,5681
64000,Arrondissement de Waremme,81889
64008,Berloz,3135
64015,Braives,6391
64021,Crisnée,3465
64023,Donceel,3088
64025,Fexhe-le-Haut-Clocher,3216
64029,Geer,3478
64034,Hannut,16685
64047,Lincent,3280
64056,Oreye,3904
64063,Remicourt,5972
64065,Saint-Georges-sur-Meuse,6924
64074,Waremme,15444
64075,Wasseiges,2969
64076,Faimes,3938
70000,Province du Limbourg,877370
71000,Arrondissement de Hasselt,420312
71002,As,8236
71004,Beringen,46598
71011,Diepenbeek,19090
71016,Genk,66447
71017,Gingelom,8389
71020,Halen,9485
71022,Hasselt,78714
71024,Herck-la-Ville,12650
71034,Bourg-Léopold,15850
71037,Lummen,14978
71045,Nieuwerkerken (Hasselt),6998
71053,Saint-Trond,40672
71057,Tessenderlo,18727
71066,Zonhoven,21327
71067,Zutendaal,7282
71069,Ham,10977
71070,Heusden-Zolder,33892
72000,Arrondissement de Maaseik,252115
72003,Bocholt,13144
72004,Bree,16169
72018,Kinrooi,12206
72020,Lommel,34245
72021,Maaseik,25310
72030,Peer,16298
72037,Hamont-Achel,14299
